nohup: ignoring input
[backend] launching /home/john/githubs/llm-server/llama.cpp-diffgemma/build/bin/llama-diffusion-gemma-visual-server
[backend]   model=/home/john/githubs/llm-server/models/diffusiongemma-26B-A4B-it/diffusiongemma-26B-A4B-it-Q8_0.gguf
[backend]   CUDA_VISIBLE_DEVICES=0 NGL=99
[backend] READY n_vocab=262144 MAXTOK=12288
[http] DiffusionGemma LAN server on http://0.0.0.0:8084
[http]   UI:     http://0.0.0.0:8084/
[http]   OpenAI: POST http://0.0.0.0:8084/v1/chat/completions
[http] "GET /health HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "GET /health HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "GET /health HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
[http] "POST /v1/chat/completions HTTP/1.1" 200 -
